feature,dtype,feature_type,feature_group,missing_count
country,string,categorical,categorical/geography,0
state,string,categorical,categorical/geography,0
city,string,categorical,categorical/geography,0
pm25,float64,numeric,base_numeric,0
pm10,float64,numeric,base_numeric,0
no,float64,numeric,base_numeric,0
no2,float64,numeric,base_numeric,0
nox,float64,numeric,base_numeric,0
nh3,float64,numeric,base_numeric,0
co,float64,numeric,base_numeric,0
so2,float64,numeric,base_numeric,0
o3,float64,numeric,base_numeric,0
benzene,float64,numeric,base_numeric,0
toluene,float64,numeric,base_numeric,0
xylene,float64,numeric,base_numeric,0
wind_speed,float64,numeric,base_numeric,0
humidity,float64,numeric,base_numeric,0
deforestation_rate,float64,numeric,base_numeric,0
industry_growth,float64,numeric,base_numeric,0
co2_emission,float64,numeric,base_numeric,0
population_density,float64,numeric,domain_engineered,0
division,string,categorical,categorical/geography,0
province,string,categorical,categorical/geography,0
region,string,categorical,categorical/geography,0
prefecture,string,categorical,categorical/geography,0
federal_district,string,categorical,categorical/geography,0
year,int32,numeric,time,0
month,int32,numeric,time,0
quarter,int32,numeric,time,0
day_of_year,int32,numeric,time,0
decade,int32,numeric,time,0
is_covid_period,int64,numeric,time,0
season,string,categorical,categorical/geography,0
month_sin,float64,numeric,time,0
month_cos,float64,numeric,time,0
doy_sin,float64,numeric,time,0
doy_cos,float64,numeric,time,0
pm25_pm10_ratio,float64,numeric,domain_engineered,0
pm10_minus_pm25,float64,numeric,base_numeric,0
no2_nox_ratio,float64,numeric,domain_engineered,0
benzene_toluene_ratio,float64,numeric,domain_engineered,0
so2_no2_ratio,float64,numeric,domain_engineered,0
pm25_humidity_interaction,float64,numeric,domain_engineered,0
high_humidity_flag,int64,numeric,lag_rolling,0
pm25_wind_dispersion,float64,numeric,domain_engineered,0
low_wind_flag,int64,numeric,lag_rolling,0
industry_density_interaction,float64,numeric,domain_engineered,0
co2_per_density,float64,numeric,domain_engineered,0
country_freq,double[pyarrow],numeric,domain_engineered,0
city_freq,double[pyarrow],numeric,domain_engineered,0
state_freq,double[pyarrow],numeric,domain_engineered,0
country_city_freq,float64,numeric,domain_engineered,0
pm25_lag_1,float64,numeric,lag_rolling,0
pm25_lag_3,float64,numeric,lag_rolling,0
pm25_lag_12,float64,numeric,lag_rolling,0
pm10_lag_1,float64,numeric,lag_rolling,0
pm10_lag_3,float64,numeric,lag_rolling,0
pm10_lag_12,float64,numeric,lag_rolling,0
no2_lag_1,float64,numeric,lag_rolling,0
no2_lag_3,float64,numeric,lag_rolling,0
no2_lag_12,float64,numeric,lag_rolling,0
o3_lag_1,float64,numeric,lag_rolling,0
o3_lag_3,float64,numeric,lag_rolling,0
o3_lag_12,float64,numeric,lag_rolling,0
co_lag_1,float64,numeric,lag_rolling,0
co_lag_3,float64,numeric,lag_rolling,0
co_lag_12,float64,numeric,lag_rolling,0
humidity_lag_1,float64,numeric,lag_rolling,0
humidity_lag_3,float64,numeric,lag_rolling,0
humidity_lag_12,float64,numeric,lag_rolling,0
wind_speed_lag_1,float64,numeric,lag_rolling,0
wind_speed_lag_3,float64,numeric,lag_rolling,0
wind_speed_lag_12,float64,numeric,lag_rolling,0
