column,missing_count,missing_pct,dtype
o3,2190,0.6642,float64
so2,2182,0.6617,float64
nox,2155,0.6536,float64
benzene,2147,0.6511,float64
toluene,2140,0.649,float64
pm10,2131,0.6463,float64
co,2124,0.6442,float64
nh3,2120,0.6429,float64
no2,2104,0.6381,float64
xylene,2098,0.6363,float64
no,2085,0.6323,float64
co2_emission,8,0.0024,float64
country,0,0.0,string
state,0,0.0,string
city,0,0.0,string
pm25,0,0.0,float64
date,0,0.0,datetime64[us]
aqi,0,0.0,float64
wind_speed,0,0.0,float64
aqi_bucket,0,0.0,str
humidity,0,0.0,float64
deforestation_rate,0,0.0,float64
industry_growth,0,0.0,float64
population_density,0,0.0,float64
source_file,0,0.0,str
division,0,0.0,string
province,0,0.0,string
region,0,0.0,string
prefecture,0,0.0,string
federal_district,0,0.0,string
aqi_bucket_clean,0,0.0,str
target_aqi_bucket,0,0.0,str
