model,split,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,cohen_kappa
LogisticRegression_SGD,val,0.7866890159731809,0.7422537234672513,0.7843080532001656,0.7883674640900206,0.7203225788605816,0.7097141136379816
LogisticRegression_SGD,test,0.7880299743640308,0.7410588187341531,0.7854086058453286,0.7905255110020453,0.7154522122703099,0.711288745798484
DecisionTree,val,0.9881285742457109,0.9415511684034915,0.9883717322901898,0.9278424905145828,0.9581975358491578,0.9838592326871501
DecisionTree,test,0.9889765332281601,0.9392995849894726,0.9892828099677875,0.9218489078773224,0.962321047105903,0.9850235893436645
RandomForest,val,0.9339380792743048,0.8935965805034205,0.934688545759256,0.8849572953461745,0.9066046246107039,0.9108924287142761
RandomForest,test,0.9377637546834944,0.8952925639773132,0.9384197911606399,0.8852250119742132,0.9090176860915489,0.9160096642545412
ExtraTrees,val,0.8347860382567541,0.7833787542543448,0.83736917008732,0.7494589816137887,0.8406718187816763,0.7794655791555982
ExtraTrees,test,0.8395188325774009,0.7838312209227228,0.8422768736749833,0.7470505474928791,0.8475880416944707,0.7857914006610303
XGBoost,val,0.9873792151449419,0.9527298579182218,0.9872493550437419,0.9652638035632007,0.9414085476568254,0.982812147542052
XGBoost,test,0.9883060540327352,0.956991875640855,0.9882253484646443,0.9681403796957003,0.9468163847524821,0.9840871503724044
LightGBM,val,0.9891737329915204,0.954891229226014,0.9891071645382231,0.9634291936839253,0.9470533635406474,0.9852608902147665
LightGBM,test,0.9905146913823704,0.9572594147738537,0.9904757169433154,0.9634578085106885,0.9514451260904909,0.9870978891164508
XGBoost_Optuna,val,0.9875369749556301,0.9536971567318121,0.9873938923391711,0.9696762474901631,0.9397079337184245,0.9830265895603759
XGBoost_Optuna,test,0.9885229737724315,0.958030647297253,0.9884385887508166,0.9706298848524382,0.9466834348376229,0.9843823299392291
LightGBM_Optuna,val,0.9894300926838888,0.9560892432122964,0.9893670610372745,0.9636598923068047,0.9490170385403158,0.9856087056662954
LightGBM_Optuna,test,0.9905146913823704,0.956109964397693,0.9904704387601642,0.9623133153929665,0.9502517474275942,0.9870967233815843
StackingEnsemble,val,0.9875764149083021,0.9407864674061847,0.987885364773938,0.92478661038278,0.962231597598377,0.9831093160819792
StackingEnsemble,test,0.9874186550976138,0.9372913628975607,0.9877652670821911,0.9185347486766638,0.9635130970957836,0.982908160257138
