true_label,pred_label,max_probability,is_correct
Unhealthy,Unhealthy,0.9999942071891493,True
Moderate,Moderate,0.9999997556948583,True
Moderate,Moderate,0.9999895672132119,True
Satisfactory,Satisfactory,0.9999998114761524,True
Unhealthy,Unhealthy,0.9999861870467162,True
Good,Good,0.9999988633796615,True
Satisfactory,Satisfactory,0.9999991303077832,True
Good,Good,0.9999997429573105,True
Unhealthy,Unhealthy,0.9999940848574425,True
Moderate,Moderate,0.9999922447021382,True
Moderate,Moderate,0.9999995818302382,True
Moderate,Moderate,0.9875457946793244,True
Good,Good,0.9999995582475323,True
Moderate,Moderate,0.9997773604427029,True
Unhealthy,Unhealthy,0.9999969948204176,True
Satisfactory,Satisfactory,0.9999820770929493,True
Moderate,Moderate,0.9999993786944544,True
Moderate,Moderate,0.999998152010853,True
Satisfactory,Satisfactory,0.9999956719241976,True
Moderate,Moderate,0.9999982201999418,True
Very_Unhealthy,Very_Unhealthy,0.9999973288908884,True
Satisfactory,Satisfactory,0.9999997504769301,True
Good,Good,0.9999992970595905,True
Unhealthy,Unhealthy,0.9999998807269332,True
Hazardous,Hazardous,0.9999988578752733,True
Moderate,Moderate,0.999937952638186,True
Good,Good,0.9999990751344222,True
Moderate,Moderate,0.9999998433164979,True
Moderate,Moderate,0.9999998466403512,True
Good,Good,0.9999998310247388,True
Unhealthy,Unhealthy,0.9999993883397318,True
Good,Good,0.999999653000624,True
Satisfactory,Satisfactory,0.9999993227081214,True
Unhealthy,Unhealthy,0.996674846085823,True
Moderate,Moderate,0.999999151287635,True
Satisfactory,Satisfactory,0.9999989230993305,True
Unhealthy,Unhealthy,0.9999823587216365,True
Moderate,Moderate,0.9999946729509156,True
Moderate,Moderate,0.9999949400970364,True
Satisfactory,Satisfactory,0.9999953942360563,True
Satisfactory,Satisfactory,0.9999984467121308,True
Satisfactory,Satisfactory,0.999996674522203,True
Satisfactory,Satisfactory,0.9999984092493547,True
Good,Good,0.9999994051691236,True
Moderate,Moderate,0.9999968433299705,True
Satisfactory,Satisfactory,0.9999973462679856,True
Moderate,Moderate,0.9999933346593278,True
Moderate,Moderate,0.9999495528081801,True
Moderate,Moderate,0.9999654609004707,True
Very_Unhealthy,Very_Unhealthy,0.9999997185375771,True
Moderate,Moderate,0.999999822167356,True
Good,Good,0.9999992860662582,True
Good,Good,0.9999996945019766,True
Moderate,Moderate,0.9999992619208037,True
Moderate,Moderate,0.9999998917629043,True
Unhealthy,Unhealthy,0.9999999831917065,True
Good,Good,0.9999978379799691,True
Unhealthy,Unhealthy,0.999999345465053,True
Satisfactory,Satisfactory,0.9999999513168528,True
Moderate,Moderate,0.9999996470421721,True
Unhealthy,Unhealthy,0.9999874420291516,True
Moderate,Moderate,0.9999567594400783,True
Moderate,Moderate,0.9999975260108567,True
Unhealthy,Unhealthy,0.9991433103526606,True
Moderate,Moderate,0.9999968532561772,True
Satisfactory,Satisfactory,0.999999732619709,True
Good,Good,0.9999997222696043,True
Unhealthy,Unhealthy,0.9999996834928393,True
Moderate,Moderate,0.999999432946697,True
Moderate,Moderate,0.9999996017348624,True
Good,Good,0.9999973289648619,True
Good,Good,0.9999997134714086,True
Unhealthy,Unhealthy,0.9999992541381079,True
Satisfactory,Satisfactory,0.9999997307704188,True
Moderate,Moderate,0.9999998640140159,True
Good,Good,0.9999951577439382,True
Moderate,Moderate,0.9999988680231846,True
Unhealthy,Unhealthy,0.9999993280384586,True
Satisfactory,Satisfactory,0.9999999271266347,True
Moderate,Moderate,0.9999984046771828,True
Unhealthy,Unhealthy,0.9999996971965655,True
Unhealthy,Unhealthy,0.999990529126251,True
Satisfactory,Satisfactory,0.9999990130918416,True
Moderate,Moderate,0.9999950470296725,True
Unhealthy,Unhealthy,0.9999990644605831,True
Satisfactory,Satisfactory,0.9999996009613497,True
Very_Unhealthy,Very_Unhealthy,0.9999995833178763,True
Good,Good,0.9999998635535998,True
Satisfactory,Satisfactory,0.9999994770745283,True
Unhealthy,Unhealthy,0.9999997374759183,True
Moderate,Moderate,0.9999494195741002,True
Good,Good,0.9999998902513454,True
